family,experiment,training_source,checkpoint_update,samples,SPKSIM,WER,EMOSIM,AVSync,precision,evidence,source_note
baseline,B0_AlignDiT,baseline,100000,213,0.61399,0.06644,0.77198,0.52144,5dp,user_recorded,2026-08-10用户汇总截图
baseline,B0_AlignDiT,baseline,150000,213,0.60784,0.06392,0.75800,0.51486,5dp,user_recorded,2026-08-10用户汇总截图
baseline,B0_AlignDiT,baseline,200000,213,0.61547,0.05046,0.77967,0.50820,5dp,user_recorded,2026-08-10用户汇总截图
mmdit_base,MMDiT_Base,4x4090,100000,213,0.61609,0.07527,0.76068,0.52133,5dp,user_recorded,2026-08-10用户汇总截图
mmdit_base,MMDiT_Base,4x4090,150000,213,0.62009,0.06812,0.75844,0.50985,5dp,user_recorded,2026-08-10用户汇总截图
mmdit_base,MMDiT_Base,4x4090,200000,213,0.61325,0.07864,0.75335,0.51845,5dp,user_recorded,2026-08-10用户汇总截图
mmdit_base,MMDiT_Base,other_server_4xA40,150000,213,0.62106,0.05341,0.76873,0.55103,5dp,user_recorded,2026-08-10用户汇总截图
C_ablation,C0,4x4090,150000,213,0.62974,0.05130,0.76198,0.51640,5dp,user_recorded,用户保存的150k汇总表
C_ablation,C1,4x4090,150000,213,0.61556,0.06476,0.76566,0.48804,5dp,user_recorded,用户保存的150k汇总表
C_ablation,C2,4x4090,150000,213,0.62807,0.05551,0.78143,0.51050,5dp,user_recorded,用户保存的150k汇总表
C_ablation,C3,4x4090,150000,213,0.61354,0.06224,0.73970,0.49956,5dp,user_recorded,用户保存的150k汇总表
C_ablation,C0,4x4090,200000,213,0.62894,0.04794,0.74941,0.51838,5dp,artifact_verified,/zjw524/projects/data/eval_runs/c0_c3_200k_clean_20260726_053200/project/logs
C_ablation,C1,4x4090,200000,213,0.61680,0.06434,0.75405,0.49793,5dp,artifact_verified,/zjw524/projects/data/eval_runs/c0_c3_200k_clean_20260726_053200/project/logs
C_ablation,C2,4x4090,200000,213,0.63084,0.04794,0.78610,0.51161,5dp,artifact_verified,/zjw524/projects/data/eval_runs/c0_c3_200k_clean_20260726_053200/project/logs
C_ablation,C3,4x4090,200000,213,0.61897,0.05341,0.75248,0.49447,5dp,artifact_verified,/zjw524/projects/data/eval_runs/c0_c3_200k_clean_20260726_053200/project/logs
D_ablation,D0_6MM_12Audio_single_CTC12,4x4090,100000,213,0.62009,0.08452,0.73292,0.50830,5dp,user_recorded,用户保存的D0评测表
D_ablation,D0_6MM_12Audio_single_CTC12,4x4090,150000,213,0.62608,0.07233,0.75628,0.51543,5dp,user_recorded,用户保存的D0评测表
D_ablation,D0_6MM_12Audio_single_CTC12,4x4090,200000,213,0.628,0.074,0.763,0.528,3dp,user_recorded,截图只保留三位小数不得补造精度
D_ablation,D1_6MM_12Audio_dual_CTC6_12,4x4090,150000,213,0.63591,0.06308,0.76239,0.53100,5dp,user_recorded,用户保存的D1_D2汇总表
D_ablation,D1_6MM_12Audio_dual_CTC6_12,4x4090,200000,213,0.63633,0.05257,0.76011,0.52453,5dp,user_recorded,用户保存的D1_D2汇总表
D_ablation,D2_6MM_6Text_6Audio_dual_CTC6_12,4x4090,150000,213,0.63172,0.05677,0.76691,0.51057,5dp,user_recorded,用户保存的D1_D2汇总表
D_ablation,D2_6MM_6Text_6Audio_dual_CTC6_12,4x4090,200000,213,0.62712,0.05677,0.76950,0.51384,5dp,user_recorded,用户保存的D1_D2汇总表
